OBJECTID,SchoolCode,OrganizationId,High School,Label,ESDCode,ESDNum,ESDName,LEACode,LEAName,LowestGrade,HighestGrade,LowGrade_Int,HighGrade_Int,OrgCategoryList,AYPCode,AYPCodeDescription,GradeCategory,PhysicalAddress,MailingAddress,PrincipalName,Email,Phone,Latitude,Longitude,County,CongressionalDistrict,LegislativeDistrict
5108,3394,101813,Wayne M Henkle Middle School,,6801,112,Educational Service District 112,20405,White Salmon Valley School District,7,8,7,8," Public School, Regular School",P,Public School,Middle School,"480 NW LOOP ROAD, WHITE SALMON, Washington, 98672-0000","PO Box 1309, WHITE SALMON, Washington, 98672-0000",Haley  Ortega,haley.ortega@whitesalmonschools.org,509.493.1502,45.740238183,-121.494253738,Klickitat,3,14
5109,3026,101114,Wedgwood Elementary School,,17801,121,Puget Sound Educational Service District 121,17001,Seattle Public Schools,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"2720 NE 85 ST, SEATTLE, Washington, 98115-3446","2720 NE 85 ST, SEATTLE, Washington, 98115-3446",Christy  Smith,clsmith2@seattleschools.org,206.252.5670,47.6905390000001,-122.297064999,King,7,46
5110,4069,101649,Wellington Elementary,,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"16501 NE 195 ST, Woodinville, Washington, 98072-8414","16501 NE 195 ST, Woodinville, Washington, 98072-8414",Brian  Matthias,bmatthias@nsd.org,425.408.5900,47.7679870000001,-122.120255,King,1,45
5111,4232,102878,Wellpinit Middle School,,32801,101,Educational Service District 101,33049,Wellpinit School District,6,8,6,8," Public School, Regular School",P,Public School,Middle School,"6270 Ford/Wellpinit Road PO Box 390, Wellpinit W, Washington, 99040","PO Box 390, Wellpinit, Washington, 99040-0204",Kim  Ewing,kewing@wellpinit.org,509.258.4535,47.8983000000001,-117.988,Stevens,5,7
5112,2550,102877,Wellpinit High School,,32801,101,Educational Service District 101,33049,Wellpinit School District,9,12,9,12," Public School, Regular School",P,Public School,High School,"6270 Ford-Wellpinit Rd, WELLPINIT, Washington, 99040-6270","PO Box 390, Wellpinit, Washington, 99040-0390",Kim  Ewing,kewing@wellpinit.org,509.258.4535,47.8983000000001,-117.988,Stevens,5,7
5113,2134,100459,Wenatchee High School,,4801,171,North Central Educational Service District 171,4246,Wenatchee School District,9,12,9,12," Public School, Regular School",P,Public School,High School,"1101 MILLERDALE AVE, WENATCHEE, Washington, 98801-0000","1101 MILLERDALE AVE, WENATCHEE, Washington, 98801-0000",Eric J Anderson,anderson.eric@wenatcheeschools.org,509.663.8117,47.410149,-120.326759,Chelan,8,12
5114,2702,101416,West Auburn Senior High School,,17801,121,Puget Sound Educational Service District 121,17408,Auburn School District,9,12,9,12," Alternative School, Public School",A,Alternative School w/ > 50% From Within District,High School,"401 W MAIN ST, AUBURN, Washington, 98001-5275","401 W MAIN ST, AUBURN, Washington, 98001-5275",Michael  Robinson,mrobinson@auburn.wednet.edu,253.931.4990,47.3082410000001,-122.234814001,King,8,47
5115,2613,101665,West Hills S.T.E.M. Academy,,18801,114,Olympic Educational Service District 114,18100,Bremerton School District,PK,8,-1,8," Public School, Regular School",P,Public School,Other,"520 S National Ave, Bremerton, Washington, 98312-3696","520 S National Ave, Bremerton, Washington, 98312-3696",Melissa  Rohr,melissa.rohr@bremertonschools.org,360.473.4600,47.5572950000001,-122.666858999,Kitsap,6,26
5116,3433,101248,West Mercer Elementary,,17801,121,Puget Sound Educational Service District 121,17400,Mercer Island School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"4141 81st Ave SE, Mercer Island, Washington, 98040-3928","4141 81st Ave SE, Mercer Island, Washington, 98040-3928",Carol  Best,carol.best@mercerislandschools.org,206.236.3433,47.571534,-122.230916,King,9,41
5117,2645,101098,West Seattle Elementary School,,17801,121,Puget Sound Educational Service District 121,17001,Seattle Public Schools,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"6760 34 AV SW, SEATTLE, Washington, 98126-4208","6760 34 AV SW, SEATTLE, Washington, 98126-4208",Pamela  McCowan-Conyers,pkmccowancon@seattleschools.org,206.252.9450,47.541753,-122.373789999,King,7,34
5118,2234,101072,West Seattle High School,,17801,121,Puget Sound Educational Service District 121,17001,Seattle Public Schools,9,12,9,12," Public School, Regular School",P,Public School,High School,"3000 CALIFORNIA AV SW, SEATTLE, Washington, 98116-3302","3000 CALIFORNIA AV SW, SEATTLE, Washington, 98116-3302",Brian  Vance,brvance@seattleschools.org,206.252.8805,47.57692,-122.384622,King,7,34
5119,1755,102841,West Valley City School,,32801,101,Educational Service District 101,32363,West Valley School District (Spokane),5,8,5,8," Alternative School, Public School",A,Alternative School w/ > 50% From Within District,Middle School,"8920 E VALLEYWAY, SPOKANE, Washington, 99212-0000","8920 E VALLEYWAY, SPOKANE, Washington, 99212-0000",Dusty  Andres,dusty.andres@wvsd.org,509.921.2836,47.6603212630001,-117.284664124,Spokane,5,4
5120,3195,102851,West Valley High School,,32801,101,Educational Service District 101,32363,West Valley School District (Spokane),9,12,9,12," Public School, Regular School",P,Public School,High School,"8301 E BUCKEYE, SPOKANE, Washington, 99212-0000","8301 E BUCKEYE, SPOKANE, Washington, 99212-0000",Ryan  Mulvey,john.custer@wvsd.org,509.922.5488,47.6836870000001,-117.292599,Spokane,5,4
5121,3074,103289,West Valley High School,,39801,105,Educational Service District 105,39208,West Valley School District (Yakima),9,12,9,12," Public School, Regular School",P,Public School,High School,"9800 Zier Rd, Yakima, Washington, 98908-9243","9800 Zier Rd, Yakima, Washington, 98908-9243",BEN  MCMURRY,mcmurryb@wvsd208.org,509.972.5906,46.5737520000001,-120.639316,Yakima,4,14
5122,4040,103293,West Valley Jr High,,39801,105,Educational Service District 105,39208,West Valley School District (Yakima),6,8,6,8," Public School, Regular School",P,Public School,Middle School,"7505 Zier Rd, Yakima, Washington, 98908-2077","7505 Zier Rd, Yakima, Washington, 98908-2077",RUSS  TUMAN,tumanr@wvsd208.org,509.972.5800,46.5765372130001,-120.609318284,Yakima,4,14
5123,2946,102369,West View Elementary,,29801,189,Northwest Educational Service District 189,29100,Burlington-Edison School District,K,6,0,6," Public School, Regular School",P,Public School,Elementary School,"515 W VICTORIA AVE, BURLINGTON, Washington, 98233-1028","515 W VICTORIA AVE, BURLINGTON, Washington, 98233-1028",Tamara  Skeen,tskeen@be.wednet.edu,360.757.3391,48.4774180000001,-122.341179,Skagit,2,40
5124,2142,101057,West Woodland Elementary School,,17801,121,Puget Sound Educational Service District 121,17001,Seattle Public Schools,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"5601 4 AV NW, SEATTLE, Washington, 98107-2718","5601 4 AV NW, SEATTLE, Washington, 98107-2718",Farah  Thaxton,fgthaxton@seattleschools.org,206.252.1600,47.6703160000001,-122.362268,King,7,43
5125,3186,102525,Westgate Elementary,,29801,189,Northwest Educational Service District 189,31015,Edmonds School District,1,6,1,6," Public School, Regular School",P,Public School,Elementary School,"9601 220TH ST SW, EDMONDS, Washington, 98020-4598","9601 220TH ST SW, EDMONDS, Washington, 98020-4598",Mary  Freitas,freitasm@edmonds.wednet.edu,425.431.7474,47.7986670000001,-122.362487,Snohomish,7,32
5126,2825,100362,Westgate Elementary School,,11801,123,Educational Service District 123,3017,Kennewick School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"2514 WEST 4TH AVENUE, KENNEWICK, Washington, 99336-3180","2514 WEST 4TH AVENUE, KENNEWICK, Washington, 99336-3180",Dale  Kern,dale.kern@ksd.org,509.222.6304,46.2065670000001,-119.154625999,Benton,4,8
5127,3287,101633,Westhill Elementary,,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"19515 88 AV NE, Bothell, Washington, 98011-2137","19515 88 AV NE, Bothell, Washington, 98011-2137",Dana  Whitehurst,dwhitehurst@nsd.org,425.408.5500,47.77032,-122.224858001,King,1,1
5128,4287,102567,Weston High School,,29801,189,Northwest Educational Service District 189,31016,Arlington School District,9,12,9,12," Alternative School, Public School",A,Alternative School w/ > 50% From Within District,High School,"4407 172nd Street NE, Arlington, Washington, 98223","4407 172nd Street NE, Arlington, Washington, 98223",Andrea  Dixon,ahundredmark@asd.wednet.edu,360.618.6340,48.153105,-122.170138,Snohomish,2,39
5129,1613,100455,Westside High School,,4801,171,North Central Educational Service District 171,4246,Wenatchee School District,9,12,9,12," Alternative School, Public School",A,Alternative School w/ > 50% From Within District,High School,"1510 NINTH, WENATCHEE, Washington, 98801","1510 Ninth St, Wenatchee, Washington, 98801",Jennifer L Devereaux,devereaux.j@wenatcheeschools.org,509.663.7947,47.433962706,-120.340136222,Chelan,8,12
5130,3063,102719,Westview Elementary,,32801,101,Educational Service District 101,32081,Spokane School District,PK,6,-1,6," Public School, Regular School",P,Public School,Elementary School,"3520 W. Bismark, Spokane, Washington, 99205-7498","3520 W. Bismark, Spokane, Washington, 99205-7498",Cathy  Comfort,CatherineC@spokaneschools.org,509.354.4270,47.713263,-117.464374,Spokane,5,6
5131,3585,101233,Westwood Elementary School,,17801,121,Puget Sound Educational Service District 121,17216,Enumclaw School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"21200 SE 416th, Enumclaw, Washington, 98022-9099","21200 SE 416th, Enumclaw, Washington, 98022-9099",Scott  Meyer,scott_meyer@enumclaw.wednet.edu,360.802.7624,47.228976,-122.058071,King,8,5
5132,2361,102316,Weyerhaeuser Elementary,,17801,121,Puget Sound Educational Service District 121,27404,Eatonville School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"6105 365TH ST E, Eatonville, Washington, 98328-9512","6105 365TH ST E, Eatonville, Washington, 98328-9512",Linn  Ames,l.ames@eatonville.wednet.edu,360.879.1650,46.925104,-122.349582,Pierce,8,2
5133,5092,104353,White Bluffs Elementary School,,11801,123,Educational Service District 123,3400,Richland School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"1250 Kensington, Richland, Washington, 99352","1250 Kensington, Richland, Washington, 99352",Brian  Ploghoft,Brian.Ploghoft@rsd.edu,509.967.6575,46.248317887,-119.328392466,Benton,4,8
5134,2639,101260,White Center Heights Elementary,,17801,121,Puget Sound Educational Service District 121,17401,Highline School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"10015 6th Ave SW, Seattle, Washington, 98168-1472","10015 6th Avenue Southwest, Seattle, Washington, 98146",Maria  Osses-Watson,maria.osses-watson@highlineschools.org,206.631.5200,47.5131940000001,-122.34427,King,7,34
5135,2859,101865,White Pass Jr. Sr. High School,,34801,113,Capital Region ESD 113,21303,White Pass School District,7,12,7,12," Public School, Regular School",P,Public School,Other,"516 Silverbrook Road, Randle, Washington, 98377","516 Silverbrook Road, Randle, Washington, 98377",Chris  Schumaker,cschumaker@whitepass.k12.wa.us,360.497.7773,46.5366793920001,-121.929905899,Lewis,3,20
5136,4569,102329,White River High School,,17801,121,Puget Sound Educational Service District 121,27416,White River School District,9,12,9,12," Public School, Regular School",P,Public School,High School,"26928 120th St E, Buckley, Washington, 98321","P. O. Box 1683, Buckley, Washington, 98321",Cody  Mothershead,cmotherhead@whiteriver.wednet.edu,360.829.3352,47.14552,-122.073299,Pierce,8,31
5137,5077,104271,White Salmon Academy,,6801,112,Educational Service District 112,20405,White Salmon Valley School District,9,12,9,12," Alternative School, Public School",A,Alternative School w/ > 50% From Within District,High School,"1455 NW BRUIN COUNTRY RD, White Salmon, Washington, 98672","PO BOX 1339, White Salmon, Washington, 98672",Craig  McKee,craig.mckee@whitesalmonschools.org,509.493.1970,45.7426390150001,-121.492151959,Klickitat,3,14
5138,2532,103299,White Swan High School,,39801,105,Educational Service District 105,39209,Mount Adams School District,9,12,9,12," Public School, Regular School",P,Public School,High School,"551 Signal Peak Road, White Swan, Washington, 98952-0578","P.O. Box 578, White Swan, Washington, 98952-0578",Tracey  Smith,tsmith@masd209.org,509.874.2324,46.3792330000001,-120.731948,Yakima,4,14
5139,2191,102701,Whitman Elementary,,32801,101,Educational Service District 101,32081,Spokane School District,PK,6,-1,6," Public School, Regular School",P,Public School,Elementary School,"5400 N Helena St, Spokane, Washington, 99207-4000","5400 N Helena St, Spokane, Washington, 99207-4000",Jody  Schmidt,JodyS@SpokaneSchools.org,509.354.4324,47.706911,-117.386217,Spokane,5,3
5140,2874,102135,Whitman Elementary School,,17801,121,Puget Sound Educational Service District 121,27010,Tacoma School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"1120 S 39th St, Tacoma, Washington, 98408-0000","1120 S 39th St, Tacoma, Washington, 98408-0000",Tracy  Allen,tallen@tacoma.k12.wa.us,253.571.7272,47.2214910000001,-122.448649,Pierce,6,27
5141,3277,101124,Whitman Middle School,,17801,121,Puget Sound Educational Service District 121,17001,Seattle Public Schools,6,8,6,8," Public School, Regular School",P,Public School,Middle School,"9201 15 AV NW, SEATTLE, Washington, 98117-2336","9201 15 AV NW, SEATTLE, Washington, 98117-2336",Christina  Posten,crposten@seattleschools.org,206.252.1200,47.697051,-122.377909001,King,7,36
5142,3404,102396,Whitney Early Childhood Education Center,,29801,189,Northwest Educational Service District 189,29103,Anacortes School District,PK,K,-1,0," Public School, Regular School",P,Public School,Elementary School,"1200 M Avenue, Anacortes, Washington, 98221-0000","1200 M Avenue, Anacortes, Washington, 98221-0000",Shannon  Gilbert,sgilbert@asd103.org,360.503.1216,48.512146,-122.617574,Skagit,2,40
5143,3312,103196,Whitney Elementary Yakima,,39801,105,Educational Service District 105,39007,Yakima School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"4411 W Nob Hill Blvd, Yakima, Washington, 98908-3740","4411 W Nob Hill Blvd, Yakima, Washington, 98908-3740",Brandon  Hunt,hunt.brandon@ysd7.org,509.573.1901,46.586377,-120.567975,Yakima,4,14
5144,2905,100400,Whitstran Elementary,,11801,123,Educational Service District 123,3116,Prosser School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"102101 W. Foisy, Prosser, Washington, 99350-5666","102101 W. Foisy Road, Prosser, Washington, 99350-5666",Kevin   Gilman,kevin.gillman@prosserschools.org,509.778.4434,46.2352280000001,-119.708617,Benton,4,16
5145,2752,102444,Whittier Elementary,,29801,189,Northwest Educational Service District 189,31002,Everett School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"916 Oakes Ave., Everett, Washington, 98201-1399","916 Oakes Ave., Everett, Washington, 98201-1399",Tony  Wentworth,twentworth@everettsd.org,425.385.4390,48.005094,-122.204473,Snohomish,2,38
5146,4526,100773,Whittier Elementary,,11801,123,Educational Service District 123,11001,Pasco School District,K,2,0,2," Public School, Regular School",P,Public School,Elementary School,"616 N WEHE AVENUE, PASCO, Washington, 99301-0000","616 N WEHE AVENUE, PASCO, Washington, 99301-0000",Victor  Silva,vsilva@psd1.org,509.543.6750,46.2398140000001,-119.0768,Franklin,4,16
5147,2092,101047,Whittier Elementary School,,17801,121,Puget Sound Educational Service District 121,17001,Seattle Public Schools,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"1320 NW 75 ST, SEATTLE, Washington, 98117-5318","1320 NW 75 ST, SEATTLE, Washington, 98117-5318",Stephanie  Clark,stclark@seattleschools.org,206.252.1650,47.6837410000001,-122.37328,King,7,36
5148,3452,102153,Whittier Elementary School,,17801,121,Puget Sound Educational Service District 121,27010,Tacoma School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"777 Elm Tree Ln, Tacoma, Washington, 98466-0000","777 Elm Tree Ln, Tacoma, Washington, 98466-0000",Benjamin  Schau,BSCHAU@Tacoma.K12.Wa.US,253.571.7500,47.2290090000001,-122.514078,Pierce,10,28
5149,2505,103286,Wide Hollow Elementary,,39801,105,Educational Service District 105,39208,West Valley School District (Yakima),K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"1000 S 72nd Ave, Yakima, Washington, 98908-1857","1000 S 72nd Ave, Yakima, Washington, 98908-1857",RICHARD  FERGUSON,fergusonr@wvsd208.org,509.972.5550,46.586999,-120.605585,Yakima,4,14
5150,3289,101894,Wilbur Secondary School,,32801,101,Educational Service District 101,22200,Wilbur School District,7,12,7,12," Public School, Regular School",P,Public School,Other,"202 Pope Street, Wilbur, Washington, 99185-1090","PO Box 1090, Wilbur, Washington, 99185-1090",Belinda R Ross,belindar@wilbur.wednet.edu,509.647.5602,47.7532610000001,-118.705691,Lincoln,5,13
5151,4336,101560,Wilder Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"22130 NE 133rd, Woodinville, Washington, 98077-7270","22130 NE 133rd, Woodinville, Washington, 98077-7270",Steve  Roetcisoender,sroetcisoender@lwsd.org,425.936.2740,47.7195,-122.041538,King,1,45
5152,3583,101200,Wildwood Elementary School,,17801,121,Puget Sound Educational Service District 121,17210,Federal Way School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"2405 S 300TH ST, FEDERAL WAY, Washington, 98003-4225","2405 S 300TH ST, FEDERAL WAY, Washington, 98003-4225",Sarah  Jackson,sjackson@fwps.org,253.945.4400,47.3325580000001,-122.30133,King,9,30
5153,3558,102053,Wildwood Elementary,,17801,121,Puget Sound Educational Service District 121,27003,Puyallup School District,PK,6,-1,6," Public School, Regular School",P,Public School,Elementary School,"1601 26th Ave SE, Puyallup, Washington, 98374-1349","1601 26th Ave SE, Puyallup, Washington, 98374-1349",Jennifer  Fox,FoxJM@puyallup.k12.wa.us,253.841.8746,47.1666040000001,-122.273232,Pierce,10,25
5154,4170,102325,Wilkeson Elementary School,,17801,121,Puget Sound Educational Service District 121,27416,White River School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"640 Railroad Avenue, Wilkeson, Washington, 98396","PO Box 69, Wilkeson, Washington, 98396-0000",Laurie  Gelinas,lgelinas@whiteriver.wednet.edu,360.829.6107,47.1017130000001,-122.04291,Pierce,8,31
5155,3444,102005,Willapa Elementary,,34801,113,Capital Region ESD 113,25160,Willapa Valley School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"845 Willapa 4th Street, Raymond, Washington, 98577-9308","PO Box 128, Menlo, Washington, 98561-0128",Lori  Snodgrass,loris@willapavalley.org,360.942.3311,46.675842,-123.664905,Pacific,3,19
5156,2542,102003,Willapa Valley Middle-High,,34801,113,Capital Region ESD 113,25160,Willapa Valley School District,6,12,6,12," Public School, Regular School",P,Public School,Other,"22 Viking Way, Raymond, Washington, 98561","PO Box 128, Menlo, Washington, 98561-0128",Ned  Floeter,nedf@willapavalley.org,360.942.2006,46.624222,-123.651447,Pacific,3,19
5157,2109,102692,Willard Elementary,,32801,101,Educational Service District 101,32081,Spokane School District,PK,6,-1,6," Public School, Regular School",P,Public School,Elementary School,"500 W Longfellow Ave, Spokane, Washington, 99205-1140","500 W Longfellow Ave, Spokane, Washington, 99205-1140",Ronni  Galeener,RonniG@SpokaneSchools.org,509.354.4460,47.6981050000001,-117.420125,Spokane,5,3
5158,4543,100423,William Wiley Elementary School,,11801,123,Educational Service District 123,3400,Richland School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"2820 S Highlands Blvd, West Richland, Washington, 99353-0000","2820 S Highlands Blvd, West Richland, Washington, 99353-0000",Paul  Chartrand,Paul.Chartrand@rsd.edu,509.967.6375,46.274547,-119.355498,Benton,4,8
5159,2473,100850,Wilson Creek High,,4801,171,North Central Educational Service District 171,13167,Wilson Creek School District,7,12,7,12," Public School, Regular School",P,Public School,Other,"400 Navar Street, Wilson Creek, Washington, 98860-0000","P.O. Box 46, Wilson Creek, Washington, 98860-0046",Brad  Smedley,bsmedley@wilsoncreek.org,509.345.2541,47.426227,-119.120706999,Grant,4,13
5160,2296,102704,Wilson Elementary,,32801,101,Educational Service District 101,32081,Spokane School District,PK,6,-1,6," Public School, Regular School",P,Public School,Elementary School,"911 W 25Th Ave, Spokane, Washington, 99203-1200","911 W 25Th Ave, Spokane, Washington, 99203-1200",Ken  Hermanson,KenH@spokaneschools.org,509.354.4492,47.631443,-117.42542,Spokane,5,6
5161,3246,102146,Dr. Dolores Silas High School,,17801,121,Puget Sound Educational Service District 121,27010,Tacoma School District,9,12,9,12," Public School, Regular School",P,Public School,High School,"1202 N Orchard St, Tacoma, Washington, 98406-0000","1202 N Orchard St, Tacoma, Washington, 98406-0000",Bernadette  Ray,bray@tacoma.k12.wa.us,253.571.6000,47.2614320000001,-122.506915,Pierce,6,27
5162,3368,103197,Wilson Middle School,,39801,105,Educational Service District 105,39007,Yakima School District,6,8,6,8," Public School, Regular School",P,Public School,Middle School,"902 S 44th Ave, Yakima, Washington, 98908-3838","902 S 44th Ave, Yakima, Washington, 98908-3838",Ernesto  Araiza,Araiza.Ernesto@ysd7.org,509.573.2401,46.588396,-120.56817,Yakima,4,14
5163,3800,102427,Wind River Middle School,,6801,112,Educational Service District 112,30303,Stevenson-Carson School District,6,8,6,8," Public School, Regular School",P,Public School,Middle School,"411 Hot Springs Avenue, Carson, Washington, 98610","P.O. Box 850, Stevenson, Washington, 98648-0850",Benton  Dorman,dormanb@scsd303.org,509.427.8952,45.726770688,-121.810920436,Skamania,3,14
